"Table 6.5: Estimate for rehabilitation of Kurundu Oya Kovila Tank in Kurundu Oya GND (504E)","","",""
"Item","Work Description","Location","Amount  LKR"
"1","Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8\" dia., 700mm long boring holes, 350mm depth in fixing.","Tank bund","87,330.00"
"2","Shuttering in 1\" thk class II timber planks and 2\"x2\" joists","Tank bund","72,660.60"
"3","1:3:6(1 1/2\") Cement concrete, hand mixing and placing","Tank bund","84,093.32"
"4","Miscellaneous",,"916.08"
,"Total",,"245,000.00"
