"Table 6.1: Key activities proposed for soil and water conservation in MWS-026","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,"9. Establishing a Retaining wall/side wall - Land of Mr. A.M.Asanka Attanayake","Landslide","On","7.10994","80.86068","12 m x 15 m x 0.5 m","Retaining wall","2,000.00 m-3","180,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"10. Establishing a Retaining wall/side wall - Land of Mr. M.M.Keerthi Ranathunga","Landslide","On","7.09690","80.85649","10 m x 7 m x 0.5 m","Retaining wall","2,000.00 m-3","70,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"11. Soil conservation practices - Mulhalkele Village (50˚ - 60˚)",,"On","7.11171","80.85926","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"12. Soil conservation practices - Subodagama Village (50˚ - 60˚)",,"On","7.10154","80.86099","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","375,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","6,725,000.00",,,,,,,,,,,,
"5","514D","Thennehenwala","1. Renovation of natural drains - Kurundu Oya",,"Off","7.10984","80.866581","3.0 km","Clearing and planting some trees along the banks and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Yakkavana Alala",,"Off","7.118553","80.858791","1.5km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Mahakumbura Kandura",,"Off","7.120887","80.861091","1.2km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Soil conservation practices - Thennehenwala (60˚ - 70˚)",,"On","7.11772","80.86099","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Yakkavana (50˚ - 60˚)",,"On","7.118522   7.116245","80.858889    80.864063","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,070,000.00",,,,,,,,,,,,
"6","514F","Deliwela South","1. Renovation of natural drains - Nayawatta Kandura - Karampitiya",,"Off","7.122735","80.860955","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Batathota Kandura Near bridge",,"Off","7.122112","80.863497","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Deliwala South (50˚ - 60˚)",,"On","7.134596","80.861155","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Deliwala South (50˚ - 60˚)",,"On","7.134673","80.861155","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Deliwala South (60˚ - 70˚)",,"On","7.122863","80.863530","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,850,000.00",,,,,,,,,,,,
"7","515A","Manelwala","1. Soil conservation practices - Manelwala - Gardening (45˚ - 55˚)",,"On","7.109938   7.111089    7.110614","80.869938    80.872106    80.870674","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Manelwala - Hen farming / Hen Cultivation (45˚ - 55˚)",,"On","7.11239","80.87124","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Manelwala / Nikawattha - Paddy (40˚ - 50˚)",,"On","7.107663   7.104800   7.107895    7.108300    7.110870","80.870101   80.869687    80.871761    80.871761    80.870919","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","6,000,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","9,250,000.00",,,,,,,,,,,,
"8","515B","Walapane","1. Establishing a drain - Wathumula gama middle",,"Off",,,"50 m x 0.45 m x 0.45 m","Establishing a drain","3000.00 m-1","30,375.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","30,375.00",,,,,,,,,,,,
"9","515C","Kandegama","1. Renovation of natural drains - Badale Kandura",,"Off","7.08774","80.86397","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"20,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Pihille Kandura",,"Off","7.08938","80.86313","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"30,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Soil conservation practices - Kandegama - Near Kurundu Oya water fall (50˚ - 60˚)",,"On","7.08192","80.85233","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Kandegama (50˚ - 60˚)",,"On","7.08751","80.85772","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","2,550,000.00",,,,,,,,,,,,
"10","515D","Wathumulla","1. Renovation of natural drains - Kurundu Oya",,"Off","7.096055","80.856482","1.5 km","Planting some trees along the banks and other conservation practices",,"150,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - \"Seva Piyasa\" (60˚ - 70˚)",,"On","7.097923","80.861219","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","62,500.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - \"Seva Piyasa\" (50˚ - 60˚)",,"On","7.098636","80.861619","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,212,500.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"45,827,875.00",,
