"Table 3.7: Occupational details of the community of MWS-026 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","X","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"515C","Kandegama","45","23","105","54","92","10","25","1","217"
"515B","Walapane","88","30","160","91","14","16","75","0","76"
"515D","Wathumulla","51","25","48","47","41","4","9","0","84"
"514C","Mulhalkele","80","33","84","50","22","4","104","0","144"
"514F","Deliwela South","15","23","36","7","58","1","48","0","85"
"514B","Kumbalgamuwa East","71","24","30","37","10","4","18","0","130"
"514D","Thennehenwala","80","42","167","23","152","0","8","0","144"
"504E","Kurunduoya","0","0","0","0","0","0","0","0","0"
"515A","Manelwala","28","56","70","15","317","4","22","0","68"
"515","Batagolla","2","2","19","4","113","1","10","0","47"
,"Total","460","258","719","328","819","44","319","1","995"
