"Table 3.6: Age group categorization of the population of MWS-026 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6  17","X18 40","X40 60","X60 70","Above 70 years"
"515C","Kandegama","71","199","324","280","93","59"
"515B","Walapane","148","269","342","316","105","78"
"515D","Wathumulla","39","143","245","237","82","55"
"514C","Mulhalkele","54","234","374","276","118","52"
"514F","Deliwela South","42","74","138","112","50","34"
"514B","Kumbalgamuwa East","38","105","165","185","58","62"
"514D","Thennehenwala","33","113","144","126","103","40"
"504E","Kurunduoya","179","454","892","849","173","0"
"515A","Manelwala","50","171","212","196","76","62"
"515","Batagolla","7","18","122","30","28","4"
,"Total","661","1780","2958","2607","886","446"
