"Table 6.3: Details of minor tanks available in MWS-026","","",""
"Tank name","Custodianship","Location details","Remarks"
"Alma Gremond Tank","Hindu Temple","7.090739N, 80.832614E","Increase the height of the dam by 0.3 m"
"Kurunduoya Kovil Tank","Hindu Temple","7.074729N, 80.834501E","Repair damaged places of the dam"
