"Table 6.6: Summary of cost of rehabilitation of tanks located in MWS-026","","",""
"Item","Work Description","Location","Amount  LKR"
"1","Repairs to the damaged tank bund","Tank bund","50,000.00"
"2","Repairs to the fence & fence where necessary","Fence","20,000.00"
"3","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","Tank Reservation","23,500.00"
"4","Miscellaneous",,"5,000.00"
,"Total",,"100,000.00"
