"Table 3.5: GN-wise demographic details of the MWS-026","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"515C","Kandegama","274","335","507","519"
"515B","Walapane","281","335","662","581"
"515D","Wathumulla","219","273","413","388"
"514C","Mulhalkele","281","369","596","512"
"514F","Deliwela South","116","138","218","232"
"514B","Kumbalgamuwa East","171","213","316","297"
"514D","Thennehenwala","175","199","277","282"
"504E","Kurunduoya","605","668","1236","1201"
"515A","Manelwala","220","253","364","392"
"515","Batagolla","60","69","99","110"
,"Total","2402","2852","4688","4514"
