No.,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
26,948,Uduwela Pallegama South,"6. Soil and water conservation at the land of Mr. Siri Sugath Ranasinghe, 70°",4,1,7.255,80.65358333,,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Funds by the Project,0.25 Years
27,948,Uduwela Pallegama South,"7. Soil and water conservation at the lands of Akaragala (Middle), 65°",3,1,7.255222222,80.65341667,"7.25419444444444, 80.6529722222222",2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,Funds by the Project,0.25 Years
28,948,Uduwela Pallegama South,"8. Soil and water conservation at the lands of other, 75°",4,1,7.255194444,80.65386111,,1 ha,Live fencing/SALT,250.00 m-1,"250,000.00","2,964,500.00",Funds by the Project,0.25 Years
29,949,Uduwela Pallegama East,1. Rennovation of Kekiriwela Leader Drain (Pitale),3,1,7.25187,80.66025,,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
30,949,Uduwela Pallegama East,"2. Soil and water conservation in Kekiriwela, 90°",1,1,7.24898,80.65914,,10 ha,"Live fencing/SALT
Maintaining aforest cover or Planting perenial crops such as pepper, coffee etc.",250.00 m-1,"2,500,000.00",,"Labour and other basic services by the Local community/ Shramadana
Funds by the Project",0.5 Years
31,949,Uduwela Pallegama East,"3. Soil and water conservation in Mudunepara (Home garden), 85°",5,1,7.25024,80.65834,,14 ha,"Live fencing/SALT
Planting perenial crops such as pepper, coffee etc.
Stone terracing/lock and spills, as applied",250.00 m-1,"3,500,000.00",,Funds by the Project,1 Year
32,949,Uduwela Pallegama East,"4. Establishing a Retaining Wall at G.B.G. Siriya, Kekiriwela/Ethulgama Weldambala",1,1,7.249916667,80.65983333,,0.3 km x 3 m,Retaining Wall using stones,"2,000.00 m-2","900,000.00",,Funds by the Project,0.25 Years
33,949,Uduwela Pallegama East,"5. Establishing a Retaining Wall at G.B.G.Dhanapala, Kekiriwela/Ethulgama Weldambala",1,1,7.24993,80.66024,,0.3 km x 3 m,Retaining Wall using stones,"2,000.00 m-3","900,000.00","7,900,000.00",Funds by the Project,0.25 Years
34,950,Uduwela Pallegama West,1. Rennovation of Leader Drain close to Weldambala Dharmapala School,5,1,7.25109,80.65724,"7.25137, 80.65721
7.25135, 80. 65619",600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
35,950,Uduwela Pallegama West,2. Rennovation of Leader Drain added to Thelabu Oya,2,1,7.24974,80.6542,,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,1.5 Years
