"Table 5.3: Key activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"6","951","Ratemulla","2. Establishing four (04) Retaining Walls (25 m x 3 m) - (W.G. Premadasa, W.G. Dayavansha, O.W. Sumith Kumara and N.K. Jayasinghe)","3, 2","7.245400, 7.246004, 7.245390","80.648960, 80.648331,  80.648670","100 m x 3 m","Retaining Wall (Concrete)",,"11,616,000","By the project","0.5 Years"
"Sub Total","11,616,000",,,,,,,,,,,
"7","952","Monarangala","1. Renovation of twelve (12) Leader Drains","1","7.256300","80.659460","56 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"5,600,000","Labour and other basic services by the Local community/ Shramadana","2 Years"
,,,,"2","7.256377","80.659071",,,,,,
,,,,"2","7.256771","80.658577",,,,,,
,,,,"2","7.257018","80.657713",,,,,,
,,,,"2","7.257188","80.657283",,,,,,
,,,,"2","7.257232","80.656958",,,,,,
,,,,"2","7.257820","80.655781",,,,,,
,,,,"2","7.258783","80.655101",,,,,,
,,,,"2","7.259096","80.653983",,,,,,
,,,,"2","7.259433","80.652841",,,,,,
,,,,"2","7.259445","80.652468",,,,,,
,,,,"2","7.258140","80.651845",,,,,,
,,,"2. Retaining Wall 1 (New Dodamgahawatte)","1","7.256205","80.659820","75 m x 3","Retaining Wall (Concrete)",,"8,717,500","By the project","0.25 Years"
,,,"3. Side/Retaining Wall 2 (Silverthenne Community Center)","5","7.260107","80.655204","60 m x 3 m","Retaining Wall (Concrete)",,"6,974,000","By the project","0.25 Years"
"Sub Total","21,291,500",,,,,,,,,,,
