Tank name,Land ownership,N,E,Remarks
Hanthana Tank,Hanthana Raja Maha Viharaya,7.2412,80.6434,Recommended to rehabilitate
Tank in the TSHDA training center (TSHDA Tank),TSHDA,7.2474,80.6305,Recommended to rehabilitate
Tank in a private land,Private,7.2379,80.6446,Not Recommended to rehabilitate
