"Table 5.25: HEPA within MWS-003","","",""
"Name of GND","Extent in ha","Remarks","NA"
,"LUPPD","HEPA",
"Ethulgama West","00.00","01.20","As per the LUPPD data, three GNDs fall within HEPA with some forest cover. In total, five GNDs as per the CEA map, but all are not forests."
"Uduwelawatta colony","00.00","58.00",
"Ratemulla","00.10","92.00",
"Uduwela Udagama East","22.11","97.70",
"Uduwela Udagama West","09.08","111.80",
"Total","31.29","360.70",
