FID,No_,GND,Scheme_Nam,Problem_to,N,E,Recommende,Estimated,Soil Erosion Class
0,1,951,Ratemulla anicut,Desilting of anicut & filter need,7.240911,80.64828,1. Desilt the anicut    2. Construct a shallow well with a surrounding boulder-packed sand filter.,275000,1
1,2,951,Spring at  'Akkara 18',Reservation and filtering need,7.235478,80.646186,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of riparian plants within w",68100,4
2,3,951,Hanthana Waththa Kithulmulla Spring1,Reservation and boundary  need,7.2273882,80.6474975,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, and r",128800,1
3,4,951,Hanthana Waththa Kithulmulla Spring2,Reservation and boundary  need,7.22808,80.645948,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass and ri",64400,5
4,5,951,Hanthana Waththa Kithulmulla Spring3,Reservation and boundary  need,7.228542,80.645312,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, a",128800,1
5,6,951,Hanthana Waththa Kithulmulla Spring4,Reservation and boundary  need,7.226283,80.649494,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, a",64400,4
6,7,951,Uragala water spring1,Reservation and boundary  need,7.226471,80.651104,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, an",128800,5
7,8,951, Uragala water spring2,Reservation and boundary  need,7.231603,80.650613,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and",64400,2
8,9,951,Soraganaya  spring,Reservation and boundary  need,7.233382,80.653635,"1. Dense planting of mixed vegetation comprising  Kumbuk/ Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer.  3. Introduction of bamboo, vetiver grass, and",128800,1
9,10,951,Kahatagaldeniya  spring,Reservation and boundary  need,7.244569,80.650149,"1. Dense planting of mixed vegetation comprising  Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals. 2. Apply mulching, organic manure, and NPK fertilizer.  3. Introduction of Bamboo, Vetiver grass, an",64400,1
