"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
"13","964","Puliyadda","1. Soil conservation practices in Puliyadda H.M.K.B. Herath and others (45°)","1","7.2430555567.2375567.236972","80.65708333 80.657138 80.657138","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil and water conservation measures in Hedansak Estate (30 - 60°)","1","7.2389712","80.6557822","2.5 ha","Lock and Spills","400 m-1","1,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,"4 ha","Live fencing/SALT","250 m-1","1,000,000",,
"Sub Total","6,000,000",,,,,,,,,,,
"14","966","Ethulgama West","1. Soil conservation practices in Ingurugolla Watte (35°)","2","7.229443367.229443","80.6602843980.660284","1 ha","Stone terracing","2,500 m-1","2,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,,,,,,"Live fencing/SALT","250 m-1","250,000",,
,,,"2. Soil conservation practices (Ingurugolla New) (35 - 70°)","Needed","Scattered",,"8 ha","Lock and spills - 3 ha","400 m-1","1,200,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,,"Stone terracing - 2 ha","2,500 m-1","5,000,000",,
,,,,,,,,"Live fencing/SALT - 3 ha","250 m-1","750,000",,
,,,"3. Soil conservation practices (Ingurugolla Old) (35° - 70°)","Needed","Scattered",,"4 ha","Stone terracing - 2 ha","2,500 m-1","5,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,,,,,,"Live fencing/SALT - 2 ha","250 m-1","500,000",,
,,,"4. Soil conservation practices (Wehigaldeniya Ihalawatte) (35° - 70°)","Needed","Scattered",,"16 ha","Stone terracing - 3 ha","2,500 m-1","7,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,,,,,,"Live fencing/SALT - 10 ha","250 m-1","2,500,000",,
,,,,,,,,"Lock and spills - 3 ha","400 m-1","1,200,000",,
"Sub Total","26,400,000",,,,,,,,,,,
"15","967","Ethulgama North","1. Soil conservation practices/Overall  (35° - 70°)","Needed","Scattered",,"8 ha","Lock and spills - 2 ha","400 m-1","800,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,,"Stone terracing - 2 ha","2,500 m-1","5,000,000",,
,,,,,,,,"Live fencing/SALT - 4 ha","250 m-1","1,000,000",,
"Sub Total","6,800,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"85,484,500",,
