"Table 5.3: Details of Reported landslides in MWS-031","","","","","","",""
"No","GN Division No","GN Division","Land Slides Other Hazards","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","533L","Delmar","Landsliding - Gordon Line (2 ac, slope 50˚ - 60˚); 50 houses affected","6.983698","80.875434","Needs NBRO concern","Taking appropriate actions on the recommendations of NBRO. Meanwhile, drainage should be improved to facilitate water flow."
"2","533D","Udapussallawa North","No special issues reported",,,,
"3","533E","Udapussellawa South","Line House Damage","6.98848","80.89027","Needs NBRO concern","Taking appropriate action on the recommendations of NBRO"
,,,"Line House Damage","6.99334","80.89107","Needs NBRO concern","Taking appropriate action on the recommendations of NBRO"
"4","533F","Sooriyagahapathana Pahala","No special issues reported",,,,
"5","533K","St. Magret","No special issues reported",,,,
"6","533G","Sooriyagahapathana Ihala","No special issues reported",,,,
"7","533H","Galkadapathana","Landsliding in 12 different places (70˚-80˚)",,,"NBRO visited","Should follow the recommendations of NBRO"
