"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-031 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","533L","Delmar","No special issues are reported.",,,,,,,,,
"2","533D","Udapussallawa North","1. Soil conservation practices (40°-60°)","4","79019","80.909549","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","250,000",,,,,,,,,,,
"3","533E","Udapussellawa South","No special issues are reported.",,,,,,,,,
"4","533F","Sooriyagahapathana Pahala","No special issues are reported.",,,,,,,,,
"5","533K","St. Magret","No special issues are reported.",,,,,,,,,
"6","533G","Sooriyagahapathana Ihala","1. Soil conservation practices (60˚-70˚)","5","7546","80.892218","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (60˚-80˚)","5","72906","80.890759","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,750,000",,,,,,,,,,,
"7","533H","Galkadapathana","1. Soil conservation practices - (60˚-80˚)","4","7.016616","80.895244","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - (60˚-70˚)","4","7.013373","80.888789","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,500,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"4,500,000",,
