"Table 5.32: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution     from line agency  GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Delmar 100,Udupussellawa North 150, Udupussellawa South ,Sooriyagahapathana Pahala 100, St. Sooriyagahapathana Ihala 150, Galkadapathana 300","800","80","64,000","50%","32,000"
,"Electric fence","Delmar 5 Udupussellawa North 4, Udupussellawa South 4 ,Sooriyagahapathana Pahala 5, Sooriyagahapathana Ihala 5, Galkadapathana 6","29","36,000","1,044,000","50%","522,000"
"Vegetable","Capsicum","Delmar 3,Udupussellawa North 2, Udupussellawa South 3 Sooriyagahapathana Pahala 2, St. Sooriyagahapathana Ihala 2, Galkadapathana 4","16","40/perches unit - 20g. 3,000","48,000","100%","48,000"
,"Cabbage","Delmar 4,Udupussellawa North 2, Udupussellawa South 3 Sooriyagahapathana Pahala 2, St. Sooriyagahapathana Ihala 2, Galkadapathana 5","18","40/perches unit - 20g. 6,000","108,000","100%","108,000"
,"Green chili","Delmar 2, Udupussellawa North 1, Udupussellawa South 2, Sooriyagahapathana Pahala 2,  Sooriyagahapathana Ihala 2, Galkadapathana -3","12","40/perches unit - 50g. 1,500","4,500","100%","4,500"
,"Beans","Delmar 3, Udupussellawa North 2, Udupussellawa South 2, Sooriyagahapathana Pahala 2,  Sooriyagahapathana Ihala 2, Galkadapathana 3","14","40/perches unit - 1500g. 4,500","63,000","100%","63,000"
"Fruits","Banana","Delmar -100, Udupussellawa North 25 , Udupussellawa South 50, Sooriyagahapathana Pahala 50, St. Magret 40, Sooriyagahapathana Ihala 40, Galkadapathana 100","405","120","48,600","100%","48,600"
,"Avocado","Delmar-50 ,Udupussellawa North -60, Udupussellawa South-100 ,Sooriyagahapathana Pahala 40, St. Magret-40, Sooriyagahapathana Ihala,-60 Galkadapathana 50","400","200","90,000","100%","90,000"
"Export Crops","Coffee","Delmar 400,Udupussellawa North 350, Udupussellawa South 300, Sooriyagahapathana Pahala 450, St. Magret 200, Sooriyagahapathana Ihala 300, Galkadapathana 400","2400","30","72,000","100%","72,000"
,"Pepper","Delmar 200,Udupussellawa North 200, Udupussellawa South 200, Sooriyagahapathana Pahala 300, St. Magret 200, Sooriyagahapathana Ihala 250, Galkadapathana 300","1650","40","66,000","100%","66,000"
,"Areca nut","Delmar 100,Udupussellawa North 150, Udupussellawa South 200, Sooriyagahapathana Pahala 200, St. Magret 250, Sooriyagahapathana Ihala 200, Galkadapathana 300","1400","40","56,000","100%","56,000"
,"Ginger","Delmar 100,Udupussellawa North 100, Udupussellawa South 150, Sooriyagahapathana Pahala 200, St. Magret 150, Sooriyagahapathana Ihala 150, Galkadapathana 100.","950","18","17,100","100%","17,100"
"Livestock","No of cow","Delmar -3, Udupussellawa North-3, Udupussellawa South -2, Sooriyagahapathana Pahala 2, St. Magret 2","12","250,000","3,000,000","50%","1,500,000"
,"No ofgoat","Delmar 5 ,Udupussellawa North  7, Udupussellawa South  7,  Sooriyagahapathana Pahala 3, St. Magret 3, Sooriyagahapathana Ihala 1,  Galkadapathana 2","28","40,000","1,120,000","50%","560,000"
,"No of chicks","Delmar  60-,Udupussellawa North  50, Udupussellawa South 50 ,Sooriyagahapathana Pahala 50, St. Magret 50, Sooriyagahapathana Ihala 50, Galkadapathana 50","360","1,500","540,000","50%","270,000"
,"Incubator","Delmar 2, Udupussellawa North  1, Udupussellawa South  1, Sooriyagahapathana Pahala1, St. Magret 1, Sooriyagahapathana Ihala 1","7","60,000","420,000","50%","210,000"
,"No of sheds - cow","Delmar 3, Udupussellawa North 2, Udupussellawa South  2, Sooriyagahapathana Pahala 2,","9","300,000","2,700,000","50%","1,350,000"
,"No of sheds - goat","Delmar 3 ,Udupussellawa North  2, Udupussellawa South  2, Sooriyagahapathana Pahala 1, St. Magret 2,","10","150,000","1,500,000","50%","750,000"
"Protected Agriculture","Polytunnel","Delmar 1, Udupussellawa North 1, St. Magret 2, Galkadapathana 1","5","700,000","3,500,000","50%","1,750,000"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Delmar 10,Udupussellawa North 5, Udupussellawa South 5, Sooriyagahapathana Pahala 5, St. Magret 10, Sooriyagahapathana Ihala 5, Galkadapathana 5","45","8,000","360,000","75%","270,000"
,"Black Pepper making machines (Balancing kit)","Delmar 3,Udupussellawa North 4,","7","10,000","70,000","50%","35,000"
,"White pepper production machines","Delmar 1,Udupussellawa North 1","2","55,000","110,000","50%","55,000"
"Total Cost",,,,,"15,001,200",,"7,877,200"
