"Table 5.22: Proposed interventions MWS-031","","","","",""
"Activity","Location","Number of Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Sooriyagaha pathana,
Udayapura,
Udapussellawa,
Delmar","08","20,000","160,000","2025 - 2029"
"Establish forest protection action groups","Sooriyagaha pathana,
Udayapura,","2","25,000","50,000","2025"
"Erect display boards","Sooriyagaha pathana,
Udayapura,
Udapussellawa,
Delmar","4","20,000","80,000","2025"
"Distribute energy efficient stows","Sooriyagaha pathana,
Udayapura,
Udapussellawa,
Delmar","200 units","500","100,000","2025"
"Home garden Development","Sooriyagaha pathana,","20 Units","2000","40,000","2026"
"Total",,,,"430,000",
