"Table 5.25: Three year plan MWS-031","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"533D","Udapussellawa North",,"0.5",,"0.5",,"0.5"
"533E","Udapussellawa South",,"0.5",,"0.5",,"0.5"
"533F","Sooriyagahapathana Pahala","0.2","0.5","0.2","0.5","0.2","0.5"
"533G","Sooriyagahapathana Ihala","0.2","0.5","0.2","0.5","0.2","0.5"
"533H","Galkadapathana",,"0.4",,"0.4",,"0.4"
,"Total","0.4","2.4","0.4","2.4","0.4","2.4"
