"Table 2.7: Occupational details of the community of MWS-127-1 (GN-wise)","","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12","NA  13"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others","Unemployment"
"1157","Megoda Kalugamuwa","11","31","17","24","64","7","4","20","15","8","175","115","6","26","424"
"1161","Wariyagala","4","61","52","40","17","15","4","49","32","12","283","136","278","339","196"
"1160","Haloya","7","47","326","12","27","23","0","26","9","3","72","84","8","0","252"
"1137","Nillamba","8","57","64","56","64","31","20","13","21","35","245","36","1","471","161"
"1162","Galoya","2","40","10","25","56","43","12","24","64","8","782","60","0","63","241"
"1158","Ganegoda","20","45","53","42","21","35","15","13","29","15","109","162","12","405","330"
,"Total","52","281","522","199","249","154","55","145","170","81","1666","593","305","1304","1604"
