"Table 5.27: Three-year plan MWS-127-1","",""
"Activity","Replanting  LKR","Direct Planting  LKR"
"Land preparation","180,000","180,000"
"Soil Rehabilitation + Soil conservation 1","50,000","Nil"
"Soil Rehabilitation + Soil Conservation 2","200,000","Nil"
"Tea Planting","140,000","260,000"
"Maintenance (first year)","60,000","60,000"
"Total","630,000","500,000"
