"Table 5.6: Salient features of Kurunduwaththa Wewa, Karadan Wewa, Malulla Wewa","","",""
"Tank Name","Kurunduwaththa Wewa","Karadan Wewa","Malulla Wewa"
"GN","Adikarigama - 486C","Karalliyadda - 485","Malulla - 488"
"MWS","MWS-013","MWS-013","MWS-013"
"DS","Hanguranketha","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD","DAD"
"Construction","-","1970-75","1970-75"
"Location (Lat, Lon)","7.21228N, 80.78267E","7.20532N, 80.78468E","7.19034N, 80.79034E"
"Agro-Ecological zone",,,
"Water Surface Area (approx.) (ha)","0.24","0.12","1.5"
"Tank capacity (m3)",,,
"Catchment Area (gross) (km2)",,,
"Total command area (ha)","2","8.4","75"
"Farm Organisation","-","Karalliyadda Sulu F.O.","Malulla Wewa F.O."
"F.O. registration number",,,
"Reservations are available or not","No","No","Yes"
"Reservations are marked or not","No","No","Yes"
"Bund","Earthen","Rubble Masonry Wall","Earthen"
"Bund Length (m)","120","60","200"
"Top width (m)","3","0.5","8"
"Visible bund height (m)","3","3","12"
"US & DS slopes (h/b)","1:2 both","-","1:1 both"
"Availability of rip rap",,"-","No"
"Spillway",,,
"Station (km+m)","0+100","RB end","RB end"
"Type","Culvert","CO","CO"
"Length (m)","2","2","6"
"Observed Afflux (m)","-","0.1","0.9"
"Duration of spilling (days)","-","30","90-120"
"Sluices",,,
"No of Sluices (nos)","1","1","1"
"Station/s (km+m)","0+110","0+055","7.19034, 80.79034"
"Type/s","HW","HW (attached to main bund)","HP"
"Barrel size/s (mm)","225","225","600"
"Command area of the sluice (ha)","2","8.4","75"
"Observations / Damages","Villagers objected to developing the tank. However, GPC requested to do desilting and weed removal.","Silted, Sluice - Dilapidated","US sedimentation tank - silted"
"Recommendation","Desilting and weed removal is recommended after further deliberation","Sluice Gate + Hoisting arrangement, Feeder from nearby stream (Anicut - 6m, Pipe - D – 100 mm, L - 50m), Upstream tree belt, Desilting, Make a wall in the upper side of the tank (length 100’, height 20')","Silted the US sedimentation tank (0.4 ha) by 1.5m depth"
"Tank Name","Alakola Wewa","Batuketiya Wewa","Ethdaththawa Wewa"
"GN","Malulla - 488","Sangarajagama-494/B","Adikarigama - 486C"
"MWS","MWS-013","MWS-013","MWS-013"
"DS","Hanguranketha","Hanguranketha","Hanguranketha"
"District","Nuwara Eliya","Nuwara Eliya","Nuwara Eliya"
"Ownership","DAD","DAD","DAD"
"Construction","1970-75","1970-75","-"
"Location (Lat, Lon)","7.18774N, 80.78901E","7.18063N, 80.78019E","7.20922N, 80.78004E"
"Agro-Ecological zone",,,
"Water Surface Area (approx.) (ha)","0.4","0.3","0.04"
"Tank capacity (m3)",,,
"Catchment Area (gross) (km2)",,,
"Total command area (ha)","10","16","4"
"Farm Organization","Malulla Sulu F.O.","Arakgama F.O.","Adikarigama Sulu F.O."
"F.O. registration number",,,
"Reservations are available or not","Yes","No","No"
"Reservations are marked or not","Yes","No","No"
"Bund","Earthen","Earthen","Earthen + Concrete Wall"
"Bund Length (m)","60","140","30"
"Top width (m)","3","3","1"
"Visible bund height (m)","4","4","3"
"US & DS slopes (h/b)","1:2 both","1:1 both","1:1 both"
"Availability of rip rap","No","No","-"
"Spillway",,"CO + Causeway",
"Station (km+m)","LB End","0+100","RB end"
"Type","Culvert","CO","CO (Concrete wall)"
"Length (m)","0.9 * 0.6 (L * H)","3.5","15"
"Observed Afflux (m)","0.25","0.6","0.2"
"Duration of spilling (days)","Perennial","30-50","60"
"Sluices",,,
"No of Sluices (nos)","2","1","2"
"Station/s (km+m)","LB and RB","7.18063, 80.78019","0+055"
"Type/s","HW both","HP","Planking"
"Barrel size/s (mm)","225 both","225","0.6m wide planks"
"Command area of the sluice (ha)","-","16","2 ha by both"
"Observations / Damages","Silted, Fallen tree, Seepage near LB sluice, AJMD Jayasekara - Poly tunnel (5700 ft2)","No reservation, silted due agricultural lands, spill is not sufficient, Privately owned wall has broken fell in the tank, Sabo Dam with a diversion to the tank",
"Recommendation","US Areca Nut plant belt, Clay-Cutoff (1m) for entire bund, Remove the fallen tree, Bund rehabilitation, Sluice gate replacements","Spill heightening with bund- 0.5m, Tree belt","Bund strengthening"
