No,GND No.,Name of the stream,N,E,Problem,Recommendation,Estimated Cost (Rs)
23,488,Malulla Wewa Pitawana Kandura,7.190606,80.790131,Soil erosion of lands on both sides.,"1. Canal reservation protection by earth filling.
2. Mixed tree cover to minimize erosion ","594,000.00"
24,487 B,Gama Meda Kandura,7.190186,80.780997,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","123,000.00"
25,487 B,Torrent near the community hall,7.190261,80.781519,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","123,000.00"
26,487 A,Miriswatta Kandura,7.183472,80.78568,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","594,000.00"
27,487 A,Galbokka Kandura,7.18154,80.78819,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","147,000.00"
28,487 A,Gole Kandura,7.184214,80.78854,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Mixed tree cover to minimize erosion ","147,000.00"
29,487 A,Miriswatta Kandura 1,7.180845,80.78845,Soil erosion of lands on both sides.,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","270,000.00"
30,494 B,Torrent at the boundary of Sangaraja Gama and Upawaththa paddy fields,7.181651,80.781987,Soil erosion of lands on both sides.,"1. Construct a SABO dam.
2. Mixed tree cover to minimize erosion ","237,000.00"
31,494 B,Polonwala Kandura (Kakkutu Kandura),7.183424,80.778531,Soil erosion of lands on both sides.,Improving vegetative cover with trees planting ,"235,000.00"
32,494 F,Diya Thala Kanda Kandura,7.175591,80.787447,Soil erosion of lands on both sides.,"1. Construct a SABO dam.
2. Mixed tree cover to minimize erosion ","190,000.00"
33,494 F,Udawatta Kumbura Kandura,7.1791,80.784699,Bank erosion on both sides during rainy days.,"1. Construct leader drain.
2. Construct of a SABO dam
3. Mixed tree cover to minimize erosion ","351,000.00"
34,486C,Establish the reservation in Dunge Muduna,7.212565,80.771658,Illegal cultivations in the land in Mahaweli area.,Demarcate boundary and tree planting in the reservation area ,"669,000.00"
35,487A, Galbokka Reservation.,7.178117,80.79046,Conservation of Galbokka Reservation.,Demarcate boundary and tree planting in the reservation area ,"134,100.00"
36,494F,Udawatta Kumbura,7.173594,80.788653,It is mandatory to set aside and conserve the designated number of acres in the reserve by demarcating boundaries. ,Improve the vegetative cover in the reservation with tree species. ,"321,900.00"
, Total ,,,,,,"9,870,000.00"
