"Table 2.7: Occupational details of the community of MWS-013 (GN-wise)","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"Government","Semi Government","Private","Self-Occupied","Estate Worker","Agriculture","Laborer","Foreign Employment","Other","Unemployed"
"486C","Adikarigama","114","35","340","96","-","215","23","7","21","144"
"486B","Ambewela20.28","20","3","78","19","-","304","5","2","-","37"
"487","Ganga Udagama","73","12","89","15","-","165","39","-","52","45"
"486A","Hingurukaduwa","20","-","42","13","-","132","15","7","-","25"
"486","Idamalanda","59","50","95","28","-","300","3","10","-","50"
"485","Karalliyadda","61","16","29","17","-","55","9","4","9","58"
"485C","Maliyadda1","53","1","20","2","-","22","4","2","1","22"
"488","Malulla","57","3","62","8","-","158","20","5","5","38"
"487B","Mirahampe","15","2","36","6","-","20","12","-","5","-"
"487A","Mudunapita","31","5","35","30","-","50","41","2","9","60"
"494B","Sangaraja Gama","51","4","68","27","-","65","45","8","15","38"
"494F","Udawatta Kumbura","77","15","127","33","-","132","47","13","15","19"
,"Total","631","146","1,021","294","-","1,618","263","60","132","536"
