"Table 5.31: Proposed interventions MWS-013","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Kobeithurawa, Sangarajagama, Meeriyathenna, Gonaganthenna,","8","35,000","280,000","2025 and 2028"
"Establish forest protection action groups (With fire protection items)","Kobeithurawa, Sangarajagama, Meeriyathenna, Gonaganthenna,","4","35,000","140,000","2025"
"Maintain forest boundaries","Diyathalakanda forest (13.4 km)","520 boundary post","900","468,000","2025 and 2028"
,"Mihirampe 1 forest (2.5 Km)","110 boundary posts","900","99,000","2025 and 2028"
"Erect display boards","Kobeithurawa, Sangarajagama, Meeriyathenna, Gonaganthenna,","8 Boards","38,500","308,000","2025"
"Distribute energy efficient stows","Kobeithurawa, Sangarajagama, Meeriyathenna, Gonaganthenna,","200 units","1,100","220,000","2025"
"Establish green belts with Hana & maintenance","Malulla forest","2 km","383,900","767,800","2025 -2026"
"Forest restoration","Mihirampe 1 forest","17 ha","689,344","11,718,848","2026 -2031"
"Introduce high yielding grass species into private lands","Udawatta","30 private lands","4,000","120,000","2026"
"Home garden development","Kobeithurawa, Sangarajagama, Meeriyathenna, Gonaganthenna,","160 Home gardens","2000","320,000","2026"
"Introduce hedges with perennial tree species","Dunge mudhuna","100 units","10, 000","1,000,000","2028"
"Enrichment Planting & maintenance","Dehigahapitiya reservation","1 ha","708,070","708,070","2027 -2031"
"Enrichment Planting & maintenance","Galbokka reservation","2 ha","675,560","1,341,120","2027 - 2031"
"Total",,,,"17,490,838",
