Water Scheme,Ragala,,,,,,Water Source,,Halgran Oya,,,,,Station ID,,Ragala,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),30,40,40,20,23,20,20,20,21,13,14,6,13,8,11,10,14,13,14,20,18,18,15,9
Color (Hazen),4,2,2,7,13,6,20,74,30,15,14,16,12,8,26,18,14,1,1,6,12,26,56,18
E Coli,60,140,220,410,140,380,360,310,160,220,166,410,145,246,120,145,420,210,484,340,184,210,96,220
Hardness (mg/l),34,53,35,27,20,24,27,13,28,24,26,4,15,10,14,13,17,17,20,28,16,15,13,6
Iron (mg/l),0.06,0.03,0.06,0.08,0.04,0.06,0.04,0.06,0.18,0.05,0.06,0.04,0.06,0.04,0.08,0.07,0.08,0.06,0.05,0.06,0.05,0.12,0.02,0.05
Nitrate (mg/l),8.5,9.3,6.8,3.9,3.1,0.7,2.5,2.2,1.9,0.8,1.1,0.6,1.1,1.4,1.9,2.1,2.5,2.1,0.3,0.8,0.7,1.3,0.9,1.1
pH,7.69,7.76,8.06,7.09,6.17,7.02,6.48,7.54,7.55,7.16,6.94,7.51,7.25,7.36,6.95,6.93,6.59,7.46,6.82,7.92,6.31,6.71,7.74,6.92
Total Coliform,138,324,630,760,320,470,480,480,360,530,510,540,280,360,284,274,960,460,710,720,310,418,220,345
Turbidity (NTU),2.17,1.21,1.26,1.04,1.09,0.99,3.29,3.15,4.18,2.04,1.55,7.52,2.8,3.05,5.2,5.5,3.18,0.52,0.48,3.1,2.16,6.25,14.5,9.63
