Water Scheme,Kotmale,,,,,,Water Source,,Dambagasthalawa oya,,,,,Station ID,,Devisiripura,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.4,7.95,7.7,7.69,7.9,,,8.01,8.29,8.16,*,*,7.82,7.84,,,,,,8.23,7.33,7.6,7.8,7.85,7.85,7.98,8.2,8.3,25.5,7.36,,
Electircal Conductivity (μs),107,123,114,144.5,77.96,79.3,141.07,85.11,76.63,95.98,*,*,113.2,90.73,77.1,188.7,208,179.53,277.6,278.8,207.53,166.4,454.55,131.5,131.5,136.8,*,*,*,103.75,77.29,63.67
Total dissolved solids (mg/l),105,116,108,137.2,73.52,74.82,132.66,80.28,72.02,90.25,*,*,108.18,85.65,72.08,96.17,104,89.69,138.73,136.37,104,81.07,73.45,65.49,65.49,68.38,,,,102.4,75.77,63.28
pH,6.7,6.7,7,7.39,8.82,8.3,8.56,8.83,7.38,6.8,*,*,8.82,7.18,6.44,8.8,4.82,8.93,8.74,8.62,9.14,8.13,8.66,8.33,8.33,7.06,*,*,*,6.86,7.34,7.235
Temperature (oC),,,,,,,,,,,,,,21,21,26.2,21.93,,,,,,,,,,20.45,22,25.5,27,21,
Turbidity (NTU),6,9,11,24.73,7.33,10.9,17.67,8.3,8.78,6.36,*,*,13.82,13.91,12.14,10.31,5,4.55,18.4,10.65,10.94,8.13,10.71,11.15,11.15,10.87,5.32,5.03,25.5,3.52,4.225,20.3
