Water Scheme,Polgolla,,,,,,Water Source,,Mahaweli River,,,,,Station ID,,Gatambe Bridge,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),6.5,6.776666667,5.256666667,4.87,6.946666667,-,-,7.1,6.65,5.39,6.55,-,6.86,6.78,-,-,-,-,-,6.856666667,6.43,6.435,-,7.35,7.47,6.64,7.845,7.04,24.45,7.45,-,-
Electircal Conductivity (μs),169,255,133,295.17,109.53,121.6,83.67,107.73,168.8,225.2,181.57,-,143.57,-,136,305.47,239,562.53,175.53,325.87,643.05,608.25,-,241.6,-,372.2,-,-,-,154.35,87.63,78.65
Total dissolved solids (mg/l),159,240,128,278.13,103,114.6,78.78,101.59,158.93,212.1,171.17,-,135.13,126.73,125.7,152.77,120,281.53,87.41,163.27,321.2,304.2,-,120.9,-,186.1,-,-,-,151.8,86.23,118.86
pH,7.11,7.27,7.02,7,7.13,6.92,6.666666667,7.06,6.77,6.94,7.29,-,7.03,8.11,6.41,6.99,7.133333333,6.516666667,6.756666667,6.623333333,6.475,6.575,-,8.16,-,6.86,-,-,-,7.165,7.55,7.14
Temperature (oC),-,-,-,-,-,-,-,-,-,-,-,-,-,25.9,27,26.4,23.33,-,-,-,-,-,-,-,-,-,21.7,27.3,24.45,28.4,23.9,-
Turbidity (NTU),6,9,13,6.4,9.38,9.26,53.2,12.44,22.7,36.03,15.02,-,11.12,14.2,10.75,35.07,11,12.62,3.81,4.61,5.36,6.58,-,24.95,193,16.37,2.61,3.62,24.45,4.22,7.21,15.575
