Water Scheme,Ulapane,,,Water Source,,Ulapana oya,,,,Station ID,,Riverina Watta,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),21,17,14,18,22,14,14,11,10,13,16,17,18,19,14,16,14,14,27,25,24,22,32,34
Color (Hazen),31,18,1,10,3,16,20,40,29,566,18,21,14,19,2,24,26,29,5,3,86,28,58,6
E Coli,136,280,128,192,2990,36,172,224,700,1536,224,440,340,600,260,520,256,32,240,40,204,140,198,143
Hardness (mg/l),24,15,19,11,13,15,14,8,11,14,25,18,22,20,11,18,13,12,13,12,20,20,27,28
Iron (mg/l),0.17,0.16,0.04,0.26,0.35,0.29,0.49,0.51,0.58,4.5,0.34,0.39,0.17,0.17,0.14,0.19,0.19,0.2,0.2,0.12,0.79,0.48,0.54,0.09
Nitrate (mg/l),2.5,2.8,2.6,2.2,1.5,2.8,3.6,3.8,3.7,3.6,2.8,2.7,5.6,3.9,6.2,3.2,1,4.2,3.9,4.2,3.7,5.7,4,5.2
pH,7.2,7.3,7.1,7.4,7,7,7.1,7.2,7.4,6.9,7.1,7,7.41,7.2,7.21,6.84,7.61,7.63,7.22,7.62,7.12,7.15,7.2,6.9
Total Coliform,480,1658,370,602,830,330,420,504,1470,2776,894,820,1150,1200,982,1380,596,462,840,276,824,350,322,288
Turbidity (NTU),2.02,1.1,0.44,2.81,0.73,2.3,6.68,10.3,5.44,30.8,3.4,3.7,1.56,1.11,0.15,2.49,2.01,2.08,1.61,1,8.95,3.18,11.1,1.5
