Water Scheme,Rikillagaskada,,,,,,Water Source,,Mul oya impounding reservoir,,,,,,Station ID,,Rikillagaskada,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),20,30,20,50,20,20,10,20,12,11,10,9,38,12,12,28,28,20,20,21,12,11,15,5
Color (Hazen),1,3,4,4,6,4,42,16,11,13,14,19,23,13,13,32,13,4,2,2,9,20,3,10
E Coli,98,144,320,188,110,894,904,224,320,188,344,280,860,48,48,460,160,102,240,420,63,402,480,216
Hardness (mg/l),83,19,33,7,12,11,9,11,9,7,14,11,20,18,18,36,16,11,23,26,14,7,10,5
Iron (mg/l),0.16,0.12,0.18,0.17,0.35,0.17,0.04,0.12,0.14,0.04,0.18,0.09,0.19,0.19,0.19,0.14,0.19,0.17,0.15,0.05,0.16,0.04,0.16,0.8
Nitrate (mg/l),2.7,4.3,1,1.8,4.1,1,1.3,0.8,0.4,0.8,0.4,0.6,0.9,0.4,0.4,0.2,0.7,1,0.4,0.5,0.3,0.8,0.3,1.1
pH,7.31,8.09,7.82,7.44,7.28,7.26,7.81,7.75,7.56,7.27,8.16,7.62,8.51,6.78,6.78,6.45,7.3,7.26,6.95,7.1,7.42,6.65,8.11,7.33
Total Coliform,320,273,418,320,211,1026,1032,670,560,368,810,410,1020,160,160,1240,420,426,720,644,128,760,820,444
Turbidity (NTU),0.98,1.15,3.1,4.38,4.12,1.75,2.25,2.95,3.15,5.23,3.85,1.26,2.16,1.47,1.47,2.89,1.56,1.75,1.76,0.1,2.53,12.6,1.67,7.2
