Water Scheme,Haragama,,,Water Source,,Mahaweli River,,,,Station ID,,Haragama.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),60,80,130,118,98,110,20,20,18,23,38,32,62,39,133,68,62,36,42,43,34,30,32,40
Color (Hazen),92,206,233,155,188,182,170,350,235,322,135,448,72,42,140,28,120,74,10,22,17,72,88,84
E Coli,1160,1600,166,760,590,48,280,760,610,640,360,280,440,680,410,680,1140,708,540,510,340,686,422,620
Hardness (mg/l),73,48,120,114,87,135,28,17,35,25,31,28,57,38,146,60,67,40,48,48,30,28,28,34
Iron (mg/l),0.007,0.008,0.007,0.006,0.009,0.006,0.008,0.007,0.008,0.008,0.008,0.008,0.13,0.51,0.22,0.35,0.09,0.28,0.14,0.08,0.09,0.1,0.14,0.3
Nitrate (mg/l),3.8,6.1,4.8,3.4,4.2,5.2,3.6,3.4,2.9,5.8,4.2,3.3,1.8,3.9,2.8,2.6,1.2,1.7,1.8,3.9,0.9,1.1,1.9,3.2
pH,7.39,7.47,7.78,7.3,6.98,8.01,7.55,6.97,6.78,6.01,7.78,7.18,6.8,6.83,6.72,6.87,6.82,7.56,7.39,7.41,7.58,7.44,6.78,6.89
Total Coliform,1248,2800,258,920,820,160,660,1100,820,880,820,640,640,950,780,1050,2550,1022,820,618,710,810,626,810
Turbidity (NTU),48.2,84.5,110.5,76.4,129.5,110.5,88.2,244.9,108.22,266.4,92.5,256.4,7.55,7.07,49.6,5.46,27.4,15.4,3.24,6.36,5.01,18.1,39.8,21.2
