Water Scheme,Elpitiya,,,,,,Water Source,,Mahaweli river,,,,,Station ID,,Elpitiya,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),28,27,23,34,11,18,18,15,13,9,19,24,23,33,360,18,18,31,27,24,20,17,15,21
Color (Hazen),4,7,16,16,25,21,31,23,34,200,30,12,10,15,20,384,76,46,15,7,11,47,28,25
E Coli,82,180,280,530,280,210,210,100,690,420,234,96,310,240,44,960,96,248,68,34,160,118,210,82
Hardness (mg/l),29,36,25,30,15,21,23,22,15,19,23,26,22,28,28,17,16,19,31,31,26,26,18,36
Iron (mg/l),0.26,0.07,0.25,0.17,0.17,0.18,0.16,0.17,0.24,0.53,0.13,0.18,0.19,0.11,0.16,0.97,0.34,0.4,0.12,0.09,0.24,0.27,0.09,0.07
Nitrate (mg/l),2.1,2.4,1.8,2.6,2.8,3.1,2.2,2.4,2.5,2.6,2.8,2.9,0.7,0.8,1,1,0.9,0.7,1.2,0.3,3.4,4,3.5,2.2
pH,7.3,7.2,7.7,7.1,6.8,7,6.9,7.4,7,6.7,7,6.8,7.14,6.52,6.89,7.3,7.28,6.97,7.22,6.74,6.71,6.4,6.45,6.96
Total Coliform,662,320,600,1026,860,620,630,300,1140,2657,1196,386,790,770,120,1980,416,1096,458,282,470,248,352,642
Turbidity (NTU),0.41,0.5,31.9,1.39,3.2,2.02,8.96,7.12,7.68,27.3,2.55,1.76,9.15,1.45,1.53,49.6,7.98,5.61,1.95,0.55,3.85,7.92,3.16,7.3
