Water Scheme,Polgolla,,,,,,Water Source,,Nanu oya,,,,,Station ID,,Panideniya,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.9,7.57,6.9,7.49,7.72,,,7.83,7.85,7.72,7.5,*,7.58,7.45,,,,,,7.33,7.53,7.62,*,7.84,7.93,6.79,8.11,7.68,26.15,7.47,,
Electircal Conductivity (μs),286,244,238,291.57,194,188.67,179.03,196.5,182.25,256.95,300.7,*,343.07,*,177.95,337.47,365,397.43,257.97,521.03,483.95,369.9,*,318.65,*,334,*,*,*,199.35,208,148
Total dissolved solids (mg/l),269,231,224,276.03,184.53,177.2,168.97,185.15,186.5,241.75,283.77,*,323.13,229.7,163.61,168.7,183,199.07,128.9,260.6,242.25,184.75,*,159.2,*,167,,,,196.05,206.7,146
pH,7.4,6.8,7.3,6.76,7.48,7.95,7.02,7.49,6.63,7.07,6.68,*,8.01,3.51,6.26,7.18,6.79,6.77,6.36,6.37,8.08,8.56,*,8.16,*,7.05,*,*,*,7.16,7.28,6.89
Temperature (oC),,,,,,,,,,,,,,26.27,28.47,26.7,24.47,,,,,,,,,,22.7,32.8,26.15,28.9,25.3,
Turbidity (NTU),3,5,75,3.78,14.24,11.34,5.57,13.7,18.04,3.1,2.37,*,10.83,13.39,35.4,71.1,9,6.62,82.23,5.74,7.93,8.56,*,18.82,55.25,34.7,4.39,2.1,26.15,8.31,3.855,19.9
