Water Scheme,Kothmale,,,,,,Water Source,,Dambagastalawa oya,,,,,Station ID,,Lipakele,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.8,7.59,7.4,7.27,8.04,,,7.37,7.76,7.69,7.11,*,7.52,*,,,,,,6.65,7.75,7.22,7.46,7.42,7.42,7.06,7.5,8.83,24.5,6.81,,
Electircal Conductivity (μs),59,97,66,66.91,47.9,46.79,34.88,36.78,35.07,46.61,52.48,*,57.54,*,39.66,87.98,83,65.79,94.76,540.7,83.17,75.2,80.6,82.95,82.95,*,*,*,*,66.19,44.99,46.76
Total dissolved solids (mg/l),55,90,62,62.73,45.17,44.15,34.13,34.72,32.92,43.9,49.32,*,54.19,*,36.52,43.98,42,32.84,47.49,246.2,41.51,37.47,40.36,41.54,41.54,36.11,,,,65.32,44.67,40.24
pH,6.1,7.8,8.8,7.56,7.76,8.63,8.37,7.78,8.45,8.29,9.08,*,8.61,*,7.85,6.71,6.99,7.89,9.12,8.87,9.27,8.59,8.2,9.43,9.43,*,*,*,*,6.77,6.91,7.735
Temperature (oC),,,,,,,,,,,,,,24.17,*,26.2,22.1,,,,,,,,,,22.25,19.9,24.5,24,19.6,
Turbidity (NTU),5,7,5,4.27,10.33,6.12,8.16,11.63,11.42,4.82,24.3,*,12.32,*,6.25,7.86,6,11.16,7.57,76.78,9.6,8.59,5.85,34.95,34.95,7.7,8.79,6.44,24.5,28.55,6.01,13.305
