Water Scheme,Kotmale,,,,,,Water Source,,Agra oya,,,,,Station ID,,Henfold,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.6,7.87,7.2,7.03,7.77,,,7.57,8.02,8.25,5.85,*,7.41,*,,,,,,7.59,7.45,7.36,7.89,7.31,7.31,6.83,7.53,8.76,*,7.8,,
Electircal Conductivity (μs),81,77,105,82.1,70.8,77.09,106.34,72.2,50.93,65.01,74.44,*,78.92,*,49.01,105.83,128,117.03,142.6,162.6,145.35,114.85,113.55,76.71,76.71,*,*,*,*,62.06,54.73,41.28
Total dissolved solids (mg/l),76,73,99,76.57,64.9,72.3,100.39,74.3,48.16,59.62,71.25,*,74.34,*,45,52.95,64,58.5,71.37,81.45,72.8,57.46,56.69,38.37,38.37,53.14,,,,61.1,53.77,40.63
pH,7.2,8.1,6.7,7.67,8.75,8.12,8.92,8.91,8.48,7.9,8.16,*,6.74,*,6.81,6.67,9.05,8.57,8.07,8.13,8.91,8.81,8.27,8.35,8.35,*,*,*,*,6.73,7.23,6.87
Temperature (oC),,,,,,,,,,,,,,24.2,*,26.5,22.03,,,,,,,,,,22.05,21.7,*,22.3,20.5,
Turbidity (NTU),6,5,7,7.25,19.67,15.28,19.07,10.66,11.05,4.57,6.21,*,7.63,*,13.79,7.48,7,4.91,9.63,12.72,9.13,8.81,8.75,63.45,63.45,6.8,6.78,4.52,*,19.93,4.26,8.11
