Water Scheme,Kotmale,,,,,,Water Source,,Agra oya,,,,,Station ID,,Agra oya (Agarapathana),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.6,8.02,7,6.74,7.6,,,7.42,7.84,7.36,7.51,*,7.25,*,,,,,,6.19,7.44,7.49,7.57,7.81,7.81,7.19,7.55,7.39,23.3,7.44,,
Electircal Conductivity (μs),66,76,78,209.42,57.53,43.28,93.07,41.49,43.54,52.31,57.44,*,109.57,*,37.31,87.53,95,151.39,109.57,281.8,115.35,80.78,139.55,64.31,64.31,*,*,*,*,51.02,48.62,30.28
Total dissolved solids (mg/l),62,74,74,197.67,56.2,40.9,90.6,39.07,40.92,49.29,53.81,*,101.71,*,33.16,43.81,48,75.39,54.77,140.88,57.67,40.38,69.72,32.15,32.15,41.46,,,,54.02,47.79,29.71
pH,7.8,7.6,7.3,8.13,9.05,8.83,9.31,8.81,8.71,7.58,7.82,*,9.28,*,8.28,6.77,8.25,9.21,7.48,8.85,8.32,7.97,8.76,8.72,8.72,*,*,*,*,7.07,6.8,6.81
Temperature (oC),,,,,,,,,,,,,,22.3,*,26.17,19.53,,,,,,,,,,22.1,26.7,23.3,22.45,19,
Turbidity (NTU),4,4,4,4.15,29.13,7.48,12.18,8.92,31.13,6.42,6.65,*,7.76,*,11.64,7.82,6,5.92,6.48,69.17,6.04,7.97,6.38,30.95,30.95,5.68,6.12,4.08,23.3,11.9,6.7,5.91
