Water Scheme,Pathadumbara,,,Water Source,,Mahaweli River,,,,Station ID,,Polgolla Intake,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),48,30,38,46,44,29,28,18,20,22,33,45,32,38,38,42,26,28,24,36,30,28,25,34
Color (Hazen),53,62,28,93,121,25,200,977,194,66,48,272,57,64,73,252,52,70,54,41,27,22,22,136
E Coli,800,800,800,1200,1830,1100,1390,1200,1260,920,1040,1040,900,900,1100,900,800,780,740,840,860,1220,4200,1360
Hardness (mg/l),45,31,36,45,43,28,27,16,22,23,30,42,34,39,38,44,29,26,25,31,29,23,23,32
Iron (mg/l),0.34,0.32,0.17,0.29,0.68,0.27,1.19,5.64,0.89,0.34,0.27,1.06,0.27,0.31,0.24,0.98,0.55,0.45,0.27,0.22,0.29,1.5,1.19,0.57
Nitrate (mg/l),3.96,4.84,5.28,3.52,5.28,2.64,5.28,3.52,4.84,3.96,3.52,4.4,3.96,5.28,4,4,4,3,5,4,3,0,0,2
pH,6.8,7.3,7.52,6.55,6.66,7.8,6.84,6.85,6.24,6.62,7.01,7.08,6.64,7.53,7.2,6.7,7,7,7,7.1,6.5,6.92,6.89,6.78
Total Coliform,1800,1760,1760,2800,2700,2400,2780,2600,2520,2840,2980,2980,2800,2400,2400,2600,2600,1600,1580,1740,2000,2520,5400,3200
Turbidity (NTU),11.2,11.98,4.59,7.28,22.7,3.08,0.3,224,26.7,15.6,9.08,47.9,9.33,10.9,8,38.2,12.6,10,6.61,3.46,8.69,64.4,108,24.7
