Water Scheme,Medadumbara,,,,,,Water Source,,Kotaganga,,,,,Station ID,,Rangala,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),10,10,10,10,10,10,10,12,12,5,5,6,5,12,9,6,19,7,6,8,8,4,8,8
Color (Hazen),1,1,1,1,7,1,21,26,1,7,8,7,12,12,4,2,1,1,1,5,5,1,9,9
E Coli,68,76,84,120,380,212,60,90,80,48,50,44,188,76,105,104,44,60,156,460,380,210,320,480
Hardness (mg/l),13,15,8,5,14,8,5,9,8,4,4,5,4,7,6,8,14,5,6,7,7,9,6,6
Iron (mg/l),0.03,0.05,0.06,0.04,0.06,0.05,0.06,0.06,0.04,0.05,0.03,0.03,0.03,0.08,0.02,0.03,0.05,0.05,0.04,0.05,0.05,0.04,0.03,0.02
Nitrate (mg/l),1.7,1.7,0.8,2.6,4.6,2.7,0.8,0.8,0.9,0.8,0.8,0.9,0.5,0.5,1.6,0.4,0.6,0.06,0.9,0.8,0.8,0.4,0.5,0.7
pH,6.18,7.62,7.01,6.62,6.95,7.69,7.52,7.76,7.72,7.9,7.33,7.6,6.33,6.8,6.75,6.13,6.58,6.95,7.47,6.25,6.25,7.71,7.62,7.62
Total Coliform,130,150,160,210,840,316,180,260,140,120,140,120,260,160,210,116,60,220,480,690,490,488,610,620
Turbidity (NTU),0.7,0.77,0.51,0.81,3.95,0.57,2.88,3.38,0.44,0.98,1.57,2.76,1.2,1.04,0.47,0.23,0.23,0.29,0.13,2.7,1.27,0.23,2.07,2.01
