Water Scheme,Walapane-Nildandahinna,,,,,,Water Source,,Kurundu Oya,,,,,Station ID,,Walapane,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),30,40,30,20,,20,20,26,24,26,14,25,19,22,26,22,19,24,26,45,28,58,34,26
Color (Hazen),5,7,13,23,,12,86,24,3.93,49,24,76,12,26,26,20,23,14,26,19,39,189,70,42
E Coli,110,240,160,120,,360,510,370,460,410,190,320,422,240,760,384,710,214,340,220,270,244,542,420
Hardness (mg/l),25,44,28,22,,23,28,31,26,30,27,30,23,21,27,25,24,30,28,56,24,54,27,20
Iron (mg/l),0.06,0.11,0.09,0.11,,0.08,0.8,0.07,0.06,0.11,0.08,0.07,0.09,0.19,0.17,0.09,0.15,0.08,0.08,0.08,0.08,0.43,0.11,0.1
Nitrate (mg/l),8.2,3.9,3.3,5.8,,1.2,3.2,1.8,2.4,2.8,1,2.9,2.2,1.4,1.8,1.7,2,2.7,0.8,0.7,0.8,1.4,0.8,2.8
pH,7.14,7.51,7.64,7.01,,6.72,6.42,7.57,7.57,7.63,7.73,6.92,6.85,6.88,7.71,6.95,7.73,6.87,6.93,6.62,7.11,7.56,7.57,6.85
Total Coliform,410,430,360,310,-,510,720,490,640,760,460,440,620,660,1040,540,980,520,880,510,460,412,810,613
Turbidity (NTU),2.55,1.68,2.8,3.84,,1.68,26.2,3.98,22,5.93,3.14,14,2.4,3.88,2.1,5.2,3.38,3.35,7.2,3.55,4.7,33.2,16.3,6.54
