Water Scheme,University,,,Water Source,,Mahaweli River,,,,Station ID,,Meewathura,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Date,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Alkalinity (mg/l),18,20,16,22,23,15,15,13,15,9,15,23,24,34,30,30,28,35,17,18,16,15,18,17
Color (Hazen),26,27,20,10,58,7,20,27,66,327,22,24,9,26,37,47,30,26,40,25,34,202,165,22
E Coli,120,52,82,228,100,104,190,270,590,110,240,310,260,242,160,120,640,240,136,196,222,357,160,784
Hardness (mg/l),22,22,24,30,20,18,16,20,15,18,20,26,23,23,22,25,23,20,18,25,25,27,24,25
Iron (mg/l),0.2,0.08,0.32,0.22,0.37,0.11,0.1,0.18,0.29,0.69,0.15,0.38,0.16,0.14,0.16,0.31,0.2,0.22,0.39,0.08,0.36,1.94,0.44,0.48
Nitrate (mg/l),5.6,3.9,6.2,3.2,1,4.2,3.9,4.2,3.7,5.7,4,5.2,2.6,3.1,2.2,3.4,2.3,3,2.3,2.6,2.3,2.7,2.7,2.4
pH,6.74,6.84,6.71,6.59,6.24,7.01,8.07,6.85,7.21,6.73,7.1,6.79,7.03,7.02,6.95,7.41,7.11,7.11,7.11,7.19,7.08,6.82,7.03,6.96
Total Coliform,614,100,115,480,340,310,430,800,930,225,710,720,980,622,570,580,960,632,536,938,1068,934,610,1694
Turbidity (NTU),2.28,3.11,4.17,32.1,7.92,5,1.83,5.97,15.3,46.2,5.75,6.61,1.53,1.08,3.34,3.41,3.35,2.57,3.73,1.32,2.91,23,22.3,2.34
