Water Scheme,Polgolla,,,,,,Water Source,,Puna oya,,,,,Station ID,,Garadi Ella,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),8.2,7.93,7.7,7.97,8.19,,,8.52,8.54,8.54,*,*,8.34,8.07,,,,,,8.29,8.11,7.94,8.32,8.45,8.45,8.56,8.42,8.8,20.25,8.27,,
Electircal Conductivity (μs),81,94,73,72.33,51.11,*,44.76,49.7,48.68,62.97,*,*,157.76,52.87,46.69,94.46,67,98.34,115.27,139.8,182.03,90.05,78.6,67.68,67.68,75.62,*,*,*,157.79,0,40.77
Total dissolved solids (mg/l),76,85,69,67.86,48.24,*,42.59,46.86,45.45,59.49,*,*,148.32,49.93,43.23,47.22,34,49.06,57.62,69.85,90.89,44.94,39.25,33.85,33.85,37.81,,,,155.53,0,2005.83
pH,8.3,8.5,-,8.5,8.02,*,8.55,8.84,9.09,6.77,*,*,9.53,7.02,6.41,6.98,8.88,9.55,8.65,7.9,9.04,7.89,8.02,8.25,8.25,6.92,*,*,*,7.16,7.07,7.725
Temperature (oC),,,,,,,,,,,,,,20.83,23.4,26.1,17.53,,,,,,,,,,20.55,22.1,20.25,23.2,24.9,
Turbidity (NTU),2,3,3,7.04,3.93,*,6.33,3.99,4.39,3.74,*,*,418,5.68,7.62,8.39,3,5.28,8.08,3.91,5.48,7.89,5.88,5.44,5.44,8.04,3.75,13.15,20.25,3.79,8.705,5.73
