Water Scheme,Kotmale,,,,,,Water Source,,Agra Oya,,,,,Station ID,,Diayagama,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-07-01,2021-08-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-09-01,2023-05-01,2023-07-01,2023-10-01
Dissolved O2 (mg/l),7.8,7.95,7.4,7.26,7.88,,,7.73,8.01,8.63,7.77,,7.65,,,,,,,7.78,8,7.94,7.56,7.74,7.74,7.91,8.25,9.07,1.18,7.91,,
Electircal Conductivity (μs),21,22,27,25.9,70.84,17.37,15.93,14.76,13.28,18.37,21.17,,20.18,,15.34,31.93,31,31.33,35.45,38.45,37.09,30.31,30.26,27.1,27.1,115.3,,,,124.68,17.82,86.95
Total dissolved solids (mg/l),20,21,21,23.41,65.14,15.87,15.46,13.54,12.48,17.24,19.38,,19,,12.15,15.92,16,18.01,17.74,19.17,18.52,15.09,15.18,13.56,13.56,15.84,,,,122.98,17.56,85.52
pH,8.3,8.9,8.8,8.78,9.26,9.25,9.04,9.38,9.29,8.82,8.73,,9.55,,7.85,7.23,7.8,6.72,7.47,7.84,8.26,7.93,6.69,9.31,9.31,,,,,8.03,8.2,8.64
Temperature (oC),,,,,,,,,,,,,,19.67,,26.33,17.23,,,,,,,,,,17.8,18.3,1.18,21.95,17.4,
Turbidity (NTU),1,1,1,1.43,2.75,1.02,1.61,1.22,1.75,0.96,0.83,,1.23,,1.58,1.47,1,1.09,1.15,3.24,2,7.93,1.9,4.33,4.33,2.1,1.06,2.25,1.18,3.58,1.79,3.13
