"Table 5.10: Tentative estimates for the rehabilitation of Yakkawana Wewa","","","","",""
"SI","Description","Unit","Qty","X Rate","X Amount  LKR"
"1","Removing silt from tank bed depth up to 9\"-18\"","m3","225","1,155","311,850"
"2","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","400","534","256,320"
"3","Minor repairs to the Sluice & Spill","Item","Allow","Sum","30,000"
"4","Removing of ant hills & pothole filling along the bund","Item","Allow","Sum","36,000"
"5","Miscellaneous","Item","Allow","Sum","25,830"
,"Contingencies (10%)","66,000",,,
,"Total","726,000",,,
