SI,Description,Unit,Qty, Rate , Amount (LKR) 
1,"Removing silt from bed depth up to 9""-18""",m3,100,"1,155","115,500"
2,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",m2,250,534,"133,500"
3,Minor repairs to the Sluice & Spill,Item,Allow,Sum,"25,000"
4,Removing of ant hills & pothole filling along the bund,Item,Allow,Sum,"25,000"
5,Miscellaneous,Item,Allow,Sum,"11,000"
,Total,,,,"310,000"
