No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,484 E,Bodhiwela,1. Renovation of natural drains - Meti walagawa torrent,4,Off,7.132048,80.806066,2 Km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,484 E,Bodhiwela,2. Renovation of natural drains - Ulpatha Asala,5,Off,7.140879,80.82092,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
3,484 E,Bodhiwela,3. Renovation of natural drains - Kumbukwela torrent,4,Off,7.128334,80.815108,2.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"230,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,484 E,Bodhiwela,4. Renovation of natural drains - Lolugaha torrent,5,Off,7.130988,80.818202,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
5,484 E,Bodhiwela,5. Renovation of natural drains - Alakolamadiththa torrent,3,Off,7.130104,80.816644,1.2 Km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,484 E,Bodhiwela,6. Soil conservation practices - Bodhiwela (85°),1,On,7.13048,80.80774,16 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
7,484 E,Bodhiwela,7. Soil conservation practices - Bodhiwela (65°),4,On,7.13196,80.80701,1 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"250,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
8,484 E,Bodhiwela,8. Soil conservation practices - Rathmetiya (65°),5,On,7.140888,80.820919,5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"1,250,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,484 E,Bodhiwela,9. Soil conservation practices - Rathmetiya (50°),3,On,7.138168,80.823308,8 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000",,Labour and other basic services by the Local community,0.5 Years
10,484 E,Bodhiwela,10. Soil conservation practices - Near rathmetiya temple (85°) (50 m far),1,On,7.136574,80.823739,3.5 ha,"Live fencing/SALT and /or Stone terracing/lock and spills, as applied",250.00 m-1,"875,000",,Labour and other basic services by the Local community,0.25 Years
