Forest reserve,Total Extent,Extent in the MWS,Peripheral length (Km),Gazette No,Gazette date,Length of boundary demarcated with concreate posts (Km)
Diyathalakanda other state forest,416.98,416.98,11.75,-,-,0.68
Happawara,22.1,22.1,2.3,-,-,-
(Other estate forest),,,,,,
