Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programs,"Lamasooriya, Happawara, Ihalagammedda",6,"20,000","120,000",2024 and 2025
Establish forest protection action groups (With fire protection items),"Lamasooriya, Ihalagammedda",4,"25,000","100,000",2025
Maintain forest boundaries,Diyathalakanda forest,0.68 km/ 30,220,"13,200",2025 and 2028
,,Boundary posts,,,
Erect display boards,"Lamasooriya, Hingurukaduwa, Ihalagammedda",3 Boards,"20,000","60,000",2025
Distribute energy efficient stows,"Lamasooriya, Ihalagammedda",100 units,500,"50,000",2025
Enrichment planting ,Belihul Oya reservoir reserve,0.5 ha,"150,000","75,000",2026
Enrichment planting,Amunukura wewa reserve,0.5 ha,"150,000","75,000",2026
Total,,,,"493,200",
