Forest reserve,Rank value of Deforestation and Degradation,,,,,,
,Forest fires,Encroachments,Over grassing,Cutting for firewood,Land slides,Sand mining,Illegal tree Felling
Diyathalakanda other estate forest,1,3,5,4,2,-,
"Happawara, other estate forest",2,-,5,3,6,1,4
