Tank name,Custodianship,N,E,Remarks
Happawara Wewa,DAD,7.163357,80.832766,Desilting and Rehabilitation
Una Pandura Yaya Wewa,DAD,7.148885,80.818444,Desilting of the tank
Yakkawana Wewa,DAD,7.145947,80.823132,Desilting of the tank
Amunukura Wewa,DAD,7.14872,80.81371,Desilting and Rehabilitation
Mukalan Yaya Wewa,DAD,7.14619,80.82465,Construct a new tank
