"Table 5.9: Tentative estimates for the rehabilitation of Una Pandura Yaya wewa","","","","",""
"SI","Description","Unit","Qty","X Rate","X Amount  LKR"
"1","Removing silt from bed depth up to 9\"-18\"","m3","100","1,155","138,600"
"2","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","m2","250","534","160,200"
"3","Minor repairs to the Sluice & Spill","Item","Allow","Sum","30,000"
"4","Removing of ant hills & pothole filling along the bund","Item","Allow","Sum","30,000"
"5","Miscellaneous","Item","Allow","Sum","13,200"
,"Contingencies (10%)","37,200",,,
,"Total","409,200",,,
