"Table 5.12: Detail summary of etimates minor tanks rehabilitation costs in MWS-020-1","",""
"V1","V2","V3"
"Tank name","Location details","Tentative Estimate (LKR)"
"Happawara Wewa","7.163357N, 80.832766E","593,999"
"Una Pandura Yaya Wewa","7.148885N, 80.818444E","409,200"
"Yakkawana Wewa","7.145947N, 80.823132E","726,000"
"Amunukura Wewa","7.14872N, 80.81371E","297,000"
"Mukalan Yaya Wewa","7.14619N, 80.82465E","7,656,000"
,"Total","9,682,199"
