"Table 5.29: Forest reserves and their protection status in MWS-020-1","","","","","",""
"Forest reserve","Total Extent","Extent in the MWS","Peripheral length  Km","Gazette No","Gazette date","Length of boundary demarcated with concreate posts  Km"
"Diyathalakanda other state forest","416.98","416.98","11.75","-","-","0.68"
"Happawara
(Other estate forest)","22.1","22.1","2.3","-","-","-"
