"Table 5.35: Proposed interventions MWS-020-1","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Lamasooriya, Happawara, Ihalagammedda","6","35,000","210,000","2024 and 2025"
"Establish forest protection action groups (With fire protection items)","Lamasooriya, Ihalagammedda","4","35,000","140,000","2025"
"Maintain forest boundaries","Diyathalakanda forest (0.68 km)","30
Boundary posts","900","27,000","2026"
"Erect display boards","Lamasooriya, Hingurukaduwa, Ihalagammedda","3 Boards","38,500","115,500","2025"
"Distribute energy efficient stows","Lamasooriya, Ihalagammedda","100 units","1,100","110,000","2025"
"Enrichment planting","Belihul Oya reservoir reserve","0.5 ha","772,100","386,050","2026 - 2030"
"Enrichment planting","Amunukura wewa reserve","0.5 ha","772,100","386,050","2026 - 2030"
"Total",,,,"1,374,600",
