"Table 5.38: Three-year plan MWS-020-1","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2024","2025","2026",,,
,,"RP","DP","RP","DP","RP","DP"
"491","Illagolla","1","2","1","1.5","1","1"
"491 A","Moragolla","1.5","2","1","2","1","1"
,"Total","2.5","4","2","3.5","2","2"
