"Table 3.5: GN-wise demographic details of the MWS-023","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"533","Ragala","510","497","1332","1359"
"529","Manthreethenna","423","468","911","795"
"533C","Rathnayakapura","1021","1134","2006","1935"
"533B","Senarathpura","769","947","1804","1723"
"533A","Samagipura","240","266","459","467"
"529A","Pandithaya Kumbura","260","299","465","476"
"533M","St. Leonard","687","752","1981","1930"
,"Total","3910","4363","8958","8685"
