"Table 3.1: Administrative details of MWS-023","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS  023  ha","X  Area belongs to MWS  023","Remarks"
"1","533","Ragala","41.1","15.6","38.0%",
"2","529","Manthreethenna","216.6","171.0","78.9%",
"3","533C","Rathnayakapura","394.8","163.9","41.5%",
"4","533B","Senarathpura","410.1","296.1","72.2%",
"5","533A","Samagipura","149.2","145.4","97.5%",
"6","529A","Pandithaya Kumbura","277.2","250.9","90.5%",
"7","533M","St. Leonard","396.4","383.9","96.8%",
"8","533L","Delmar*","618.8","111.3","18.0%","Included in MWS-031 in Nildandahinna DSD"
"9","534F","Concordia*","725.9","9.0","1.2%","Included in MWS-022-2 of Nuwara Eliya DSD"
"10","533N","Ragala Watta*","320.0","36.9","11.5%","Included in MWS-022-1"
"11","528F","Mathetilla*","199.3","56.1","28.2%","Included in MWS-032 of Nildandahinna DSD"
"12","533J","Ekangapura*","294.6","1.2","0.4%","Included in MWS-022-1"
"13","528","Roopaha*","73.9","15.8","21.3%","Included in MWS-032 of Nildandahinna DSD"
"14","533O","Brookside*","741.3","0.2","0.03%","Included in MWS-022-1"
"15","526C","Morabedda*","215.7","1.2","0.5%","Included in MWS-024"
