"Table 6.17: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of Irrigation System","X N","X E","Observed problems","Description","Amount  Rs"
"529A","From Stafford to Church","7.03874","80.89359","Development of canal","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking.Stream / canal  reservation protection by earth filling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc. including application of compost manure and 02 months maintenance.Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance.Miscellaneous","1,580,000.00"
,,,,"Total",,"1,580,000.00"
