"Table 6.3: Details of minor tanks available in MWS-023","","",""
"Tank name","Ownership","Location details","Remarks"
"Garandi Wewa","DAD","7.03053N,
80.87932E","Clearing of Lake, Water Pollution Prevention and Inland fish farming"
"Theppu Kulama Wewa","DAD","7.006735N, 80.878417E","Water Pollution Prevention and Preparing a maintenance system"
