"Table 3.7: Occupational details of the community of MWS-023 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","X","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker","Unemployment"
"533","Ragala","79","9","154","29","766","19","435","0","1016"
"529","Manthreethenna","84","38","212","27","725","6","79","50","650"
"533C","Rathnayakapura","57","18","128","30","449","21","363","285","609"
"533B","Senarathpura","33","6","395","15","68","142","735","1431","177"
"533A","Samagipura","43","7","78","61","236","3","35","7","169"
"529A","Pandithaya Kumbura","12","33","71","13","390","4","26","6","171"
"533M","St. Leonard","181","2","308","83","340","29","165","258","397"
,"Total","489","113","1346","258","2974","224","1838","2037","3189"
