"Table 6.32: Forest Plantation in the MWS-023","","","",""
"Beat","FA Division","Species","Extent  ha","Present status"
"Mahakudugala","Highforest","Eucalyptus","2.2","Mature plantation"
"Dixon’s corner","Ragala","Eucalyptus","43.7","Mature plantations"
"Dixon’s corner","Ragala","Pinus","1.3","Mature plantations"
"Dixon’s corner","Senarathpura","Eucalyptus","261.0","Young to mature plantations"
"Dixon’s corner","Senarathpura","Pinus","13.4","Mature plantations"
