"Table 6.1: Key activities proposed for soil and water conservation in MWS-023","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,,"N","E",,,,,,
"1","529","Manthreethenna","1. Soil conservation practices - Manthreethenna (60˚ - 70˚)",,"On","7.02608","80.87669","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Sandasiripura (60˚ - 70˚)",,"On","7.02476","80.87154","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","2,000,000.00",,,,,,,,,,,,
"2","529A","Pandithaya Kumbura","1. Renovation of natural drains - Torrent From Staford to Kotambe paddy field",,"Off","7.03874","80.89359","8 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"800,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Garunda Kandura 1",,"Off","7.03629","80.893240","4 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"400,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Garunda Kandura 2",,"Off","7.03677","80.893510","2 km","Clearing and planting some trees along the banks (Areca nut, Bamboo, Epala) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Polwatte Kandura",,"Off","7.03017","80.886790","3 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Soil conservation practices - Sloping Lands  (60˚ - 70˚)",,"On","7.03716","80.89325","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Sloping Lands  (60˚ - 70˚)",,"On","7.03766","80.89167","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices – Ampitigoda Sloping Lands (60˚ - 70˚)",,"On","7.03875","80.89358","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Kotadeniya - Halgran Oya  (60˚ - 70˚)",,"On","7.03332","80.89174","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices - Amunupitiya 1  (60˚ - 70˚)",,"On","7.03508","80.88729","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"10. Soil conservation practices - Amunupitiya 2  (50˚ - 60˚)",,"On","7.03836","80.89098","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"11. Soil conservation practices - Akkara 7 (50˚ - 60˚)",,"On","7.02690","80.88615","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","10,700,000.00",,,,,,,,,,,,
"3","533","Ragala","1. Renovation of natural drains - Herathpura Canal",,"Off","7.007704","80.858265","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices. Marking a reservation in both sides.",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Stream of Staford Division",,"Off","7.017615","80.862903","2.5 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices. Marking a reservation in both sides.",,"250,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Establishing a side/retaining wall - Stream of Staford Division",,"Off","7.017615","80.862903","350 m x 3 m x 0.5 m","Retaining wall","2,000.00 m-3","1,050,000.00","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Soil conservation practices - Pansalwatta  (50˚ - 60˚)",,"On","7.014917","80.859039","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,200,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","2,700,000.00",,,,,,,,,,,,
"4","533A","Samagipura","1. Renovation of natural drains - Samagipura Middle of Village ( Diyagala)",,"Off","6.989786","80.860777","4 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"400,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Samagipura East of Village ( Diyagala)",,"Off","6.987388","80.86137","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Madawattagama Ela",,"Off","6.988940","80.858332","5 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Samagipura (50˚ - 60˚)",,"On","6.988689","80.859872","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","5,000,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,100,000.00",,,,,,,,,,,,
"5","533B","Senarathpura","1. Renovation of natural drains - Halgran oya",,"Off","7.005713","80.868487","3 km","Clearing and planting some trees along the banks and other conservation practices",,"300,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Viramul Ela",,"Off","7.017871","80.881021","11 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"1,100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Halgran oya - Vegetables (35˚ - 45˚)",,"On","7.017085","80.881338","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Diksan Konara Watta (Staford Watta) (50˚ - 60˚)",,"On","7.012029","80.880245","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Delmar - Vegetables (40˚ - 50˚)",,"On","7.010194","80.878903","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","6,150,000.00",,,,,,,,,,,,
"6","533C","Rathnayakapura","1. Renovation of natural drains - Diyanilla Kandura",,"Off","7.036104","80.854573","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Canal near the Veterinarian Office",,"Off","7.021278","80.853436","2 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"200,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Stream No. 1",,"Off","7.030495","80.852901","500 m","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"500,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Stream No. 2",,"Off","7.032103","80.854935","700 m","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"700,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Stream No. 3",,"Off","7.027976","80.857236","800 m","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"800,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","2,400,000.00",,,,,,,,,,,,
"7","533M","St. Leonard","1. Renovation of natural drains - Halgran Oya",,"Off","7.006061","80.865692","2 km","Clearing and planting some trees along the banks and other conservation practices",,"200,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Renovation of natural drains - Kithul Pagamuwa Stream",,"Off","7.017575","80.863036","1 km","Clearing and planting some trees along the banks (Areca nut) and other conservation practices",,"100,000.00","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","300,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"30,350,000.00",,
