"Table 5.9: Details Kondatenna wewa improvement cost estimate in MWS-020-2","","",""
"Name","Work description","Location","Amount  LKR"
"Kondatenna wewa","1. Dense planting of mixed vegetation comprising Agave/Kumbuk/Mee/ Godapara/ Madan /Aththikka/Wal del/Kekuna/Mango/ Guava/ Durian/ Avocado/Nutmeg randomly mixed seedlings at 500 mm grid intervals for 1000 m2. &. Apply mulching, organic manure, and NPK fertilizer.
2. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 200 m2. 
3. Plant two lines of Areca nut trees beside the reserve and cultivate pepper an area of around 200 m2.
4.Maintain for six months and continue watering for one year as required.
5.Labour for removal of Yodha Nidi Kumba for two-year period-allow
6. Excavate and remove sediment deposits and earth of tank bed. (DAD J05A+J06A) Rate @631
Estimated qty 3000 m3
7.Transport of an excavator J10A","Around Tanks peripheral","640,800






64,800

112,800


90,000

480,000

2,272,200


24,000"
"Contingencies (10%)","368,460",,
"Total","4,053,060",,
