Tank name,Ownership,N,E,Remarks
Hekatuwa Wewa,DAD,7.150099,80.81193,"Recommended, Sluice repair, spill raise, Sediment control"
Kondatenna Wewa,DAD,7.15692,80.81054,"Recommended, Upstream protection, improve reservation, Removal of invasive plants"
Mawaramaditta Wewa,DAD,7.16159,80.8186,"Recommended sluice repair, improve earthen bund, improve reservation"
Wilpassa Wewa,DAD,7.1596,80.80473,"Good Condition Recommended to improve reservation, capacity enhancement, US protection"
