Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,Udagalauda,60,80,4800,50%,"2,400.00"
,Electric fence,Dimbulkumbura- 10 Ediribedda-5 Udagalauda-2,17,"36,000.00",612000,50%,"306,000.00"
Fruits,Banana,Dimbulkumbura- 150 Ediribedda-200 Udagalauda-100,450,120,54000,100%,"54,000.00"
,Avocado, Ediribedda-30 Udagalauda-100,130,200,26000,100%,"26,000.00"
,Mango,Dimbulkumbura- 50 Ediribedda-20 Udagalauda-50,120,300,36000,100%,"36,000.00"
Export Crops,Coffee,Dimbulkumbura- 100 Udagalauda-1500,1600,30,48000,100%,"48,000.00"
,Pepper,Dimbulkumbura- 200 Ediribedda-200 Udagalauda-500,900,40,36000,100%,"36,000.00"
,Vanila, Ediribedda-200,2000,40,80000,100%,"80,000.00"
Livestock,No of cow,Dimbulkumbura- 5 Udagalauda-5,10,"250,000.00",2500000,50%,"1,250,000.00"
,No of goat,Dimbulkumbura- 5 Udagalauda-4,9,"40,000.00",360000,50%,"180,000.00"
,No of chicks,Dimbulkumbura- 10 Ediribedda-5 Udagalauda-20,35,"1,500.00",52500,50%,"26,250.00"
,No of sheds - cow,Dimbulkumbura- 4 Udagalauda-4,8,"300,000.00",2400000,50%,"1,200,000.00"
,No of sheds - goat,Dimbulkumbura- 3 Udagalauda-1,4,"150,000.00",600000,50%,"300,000.00"
Protected Agriculture,Polytunnel,Dimbulkumbura- 3 Ediribedda-2 Udagalauda-2,7,"1,300,000.00",9100000,50%,"4,550,000.00"
,Black Pepper making machines (Balancing kit),Udagalauda -1,1,"10,000.00",10000,50%,"5,000.00"
,Curry powder grinding,Ediribedda -1,1,"120,000.00",120000,50%,"60,000.00"
,Jackfruit drying machines,Ediribedda-1,1,"850,000.00",850000,50%,"425,000.00"
,Areca nut slicing machines,Ediribedda-1,1,"150,000.00",150000,50%,"75,000.00"
Total Cost,,,,,"17,039,300.00",,"8,659,650.00"
