No,GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost (LKR)
1,491/B,Andiribedda tube well,Supply and install complete manually operated pump and all accessories in working order to the existing tube well. Item allow,7.179369,80.8351,"600,000"
2,491/B,Andiribedda rainwater harvesting tanks. 15 numbers,Supply all materials and labour necessary for complete construction of ferro cement storage tank of 35 cum - size internal 3m Dia x4m high. (@ 325000),7.180059,80.83646,"4,875,000"
,Total cost,,,"5,475,000",,
